NoOfEvals,IsmArexJggDoubleSphereUVr0_1_0,IsmArexJggDoubleSphereUVr0_1_1,IsmArexJggDoubleSphereUVr0_1_2,IsmArexJggDoubleSphereUVr0_1_3,IsmArexJggDoubleSphereUVr0_1_4,IsmArexJggDoubleSphereUVr0_1_5,IsmArexJggDoubleSphereUVr0_1_6,IsmArexJggDoubleSphereUVr0_1_7,IsmArexJggDoubleSphereUVr0_1_8,IsmArexJggDoubleSphereUVr0_1_9
0,70.22638112993107,107.3342781593184,47.53525232953877,44.13686361212415,85.16181331821707,90.73381991199068,52.4429040160872,87.02428208451302,149.5556881606983,56.58689117248111
50,70.22638112993107,105.60076991657452,47.60647051269853,41.45768118794246,85.16181331821707,86.51194781769503,52.4429040160872,86.87935195998581,147.69773472717137,49.03784940687253
550,39.22693221345999,65.17509929203614,21.955317345575377,17.903968664082583,53.15971149009882,44.01040094876443,32.89401430687269,59.80396512375224,102.59308857206987,31.85175447194195
1050,18.81856098276298,17.871492139160893,10.139670231401544,5.405547668888817,15.04394239507592,19.353105018773498,8.24344654935289,10.119717495907686,65.25160979783493,9.673613603735548
1550,9.966814596426902,11.176647089548858,3.9994783797877003,3.2086362743793666,9.257939339104093,8.16681646787348,6.629743757910177,9.509472653347219,26.542704877006226,3.1680153098238404
2050,5.113822245362959,9.57959282538438,3.9994783797877003,3.186666323517493,6.156240700186861,6.787338856395321,4.047939686649698,4.480388048425476,19.532355059284193,3.4754723703668557
2550,3.1749625589121013,5.858288617281528,4.352733384456404,3.220901859752757,5.087509604174005,4.265561405108537,2.2603435144027806,4.194938155831349,10.670900514245327,3.2130073263803114
3050,3.50234589840228,5.061616328740058,2.746049496029283,1.8509722560330426,3.4376158302368216,2.332486109080518,1.7860241753073989,4.65964246432189,10.250217324599664,2.2313769082912565
3550,2.967082117910426,3.371090249085078,1.3636549667227227,1.4998501942489,2.9891366112096205,2.2727741464726376,1.112144188514211,2.8903129629712727,8.42338559291857,1.756444444353443
4050,2.967082117910426,3.371090249085078,0.9081531753321576,0.49504819825949586,2.45960399918293,1.435418054976394,0.8969065354799695,1.5080306478901193,8.42338559291857,0.8396455282511808
4550,2.7041231290806724,2.8506424458891075,0.6852112313649534,1.190680588931469,0.7745291279058354,1.0321278152289721,0.5716759356629121,1.9107850324082538,9.426015829481962,0.7452537288656571
5050,1.8300850929324513,2.056601450665811,0.6852112313649534,0.7336116053500142,0.7745291279058354,1.316299271844148,0.8952710065977776,1.9107850324082538,8.248222777574584,1.466435643009875
5550,1.6492650807597138,0.877803277410886,0.32421819347323655,0.7652604014414183,0.9141977381242294,0.636868133838531,0.6386686137586867,1.2915629910813373,4.441554763130973,0.7277893747825037
6050,0.7710959064663073,0.877803277410886,0.5184417307851852,0.5576183753108945,0.8086166086305057,0.6374048773189204,0.5232617037158156,0.854689831526883,4.756888105915802,0.7444845417068365
6550,0.7710959064663073,0.6753709975761929,0.3189805912271093,0.35755620422341106,0.6380127516358111,0.25901804255513516,0.29406138927453696,0.6346799984919885,3.0273328969505813,0.42520263629349675
7050,0.8243807299678652,0.25137062994335413,0.31551128950068263,0.35755620422341106,0.6251826889469908,0.39076622274608386,0.2414326677060811,0.45291039088401486,3.0273328969505813,0.23172786560508582
7550,0.35259164262578824,0.36373382624727535,0.17632162999708717,0.24166219874620926,0.22508477418081452,0.3333231196638182,0.13934865060630872,0.23161877099632405,1.7839654310110962,0.23172786560508582
8050,0.3425650891436349,0.25374589058049446,0.1293316211809656,0.1815257105841021,0.06674707060941837,0.215558455424884,0.13934865060630872,0.24664763618586386,1.0363081533081167,0.11987428947341117
8550,0.3677961663779147,0.2775086569954789,0.1293316211809656,0.16689858431529175,0.061595279078749746,0.14261100586145856,0.11869193305307911,0.15887030382232978,0.8871507054336307,0.18185051336333916
9050,0.19589964666030435,0.2169329927857639,0.11937962246427866,0.12991672689503575,0.05933120198803132,0.14261100586145856,0.1191146343636343,0.1478091585452132,0.6982268873969897,0.15444082346328789
9550,0.19589964666030435,0.17924799200625044,0.11366939208967056,0.11317896469719978,0.03222643494756421,0.12924007591245948,0.11128124018461268,0.12826952944221306,0.3411996720396052,0.14142788320179425
10050,0.16045788428977054,0.13528418015320934,0.11008947452050302,0.10888113798488397,0.017009535255914192,0.11743743508055628,0.10856454378729806,0.1202223069459107,0.26524626856274286,0.11442398068972084
10550,0.1357863696679671,0.11276384247812513,0.10302076345541146,0.10562520105103124,0.016568702844266897,0.10717120268627532,0.10312362821489393,0.10761326785259039,0.18699832481933193,0.11262657062728307
11050,0.12785349435100338,0.11131734580034422,0.10148813672411418,0.10268812066153003,0.005037450420869704,0.10330105611999874,0.10288409475138392,0.10449354000298636,0.1792978306728203,0.10356962106476784
11550,0.11428427912866437,0.10549288041597664,0.10073131193464285,0.1021064138299019,0.004409671785307802,0.10297986537272559,0.10102441620426214,0.10277140400881174,0.13578564656998726,0.10230500221141767
12050,0.10866205531852785,0.1030810439262454,0.10064124079566589,0.10080042167148663,0.002140184744002042,0.10135166623245778,0.10069958796765711,0.10118230284414953,0.12411564949694212,0.10161433860316199
12550,0.10430186656621468,0.1030810439262454,0.10025869702536076,0.10021226322866147,0.001038561682074755,0.1007365246764023,0.10038202527705907,0.10071534460077675,0.1068079824664632,0.100873370031189
13050,0.10212343682244589,0.10096991281747411,0.10016321338543645,0.10021226322866147,9.77321377101823E-4,0.10053496680390624,0.10009856942966114,0.10048599785818761,0.1072801414396893,0.10036959277500516
13550,0.10108161092168783,0.10083266177258539,0.1001679087016709,0.10014596921888913,2.940488229801454E-4,0.1001570078597546,0.10009856942966114,0.10024651835580381,0.10526943487423869,0.10052622090652794
14050,0.10083645076775881,0.10024890474864108,0.10007262156991382,0.1000901928779706,1.6496977067773555E-4,0.10014431289033605,0.10004764463011864,0.1002181683848579,0.10141353739853808,0.10014741737252338
14550,0.10043060472860793,0.10024890474864108,0.10002168386350459,0.10006815421616312,9.375266688495493E-5,0.10008987156589001,0.1000306776374983,0.10005335604017984,0.10141353739853808,0.10008740601141207
15050,0.10025520382523807,0.10010990829817494,0.10002650072415166,0.10002742507306853,6.029867666401868E-5,0.10002729134597173,0.10000980664128613,0.10004666836376629,0.10063629980670925,0.10006203782721318
