NoOfEvals,MsArexJggDoubleSphereUV_0,MsArexJggDoubleSphereUV_1,MsArexJggDoubleSphereUV_2,MsArexJggDoubleSphereUV_3,MsArexJggDoubleSphereUV_4,MsArexJggDoubleSphereUV_5,MsArexJggDoubleSphereUV_6,MsArexJggDoubleSphereUV_7,MsArexJggDoubleSphereUV_8,MsArexJggDoubleSphereUV_9
0,17.893208658143056,23.51246770000691,7.413421489224796,44.603230531677525,31.06998716924139,22.593044622601695,27.338986299071113,53.787536053057806,29.405838791028504,28.354696627179035
50,30.14202358270379,22.401873065239037,22.26650021934699,44.603230531677525,31.06998716924139,21.441458685578915,27.338986299071113,51.70188466837861,29.405838791028504,23.434799736531748
550,7.477672587680185,13.950107294616993,14.809997504284762,17.048991019472616,7.32009331424149,9.9037257695238,19.014782690378233,17.867798555573803,11.387376267346248,12.414210457158697
1050,3.696941531204847,6.385020127000325,7.754991605807653,6.312062850890295,7.32009331424149,5.650643372203979,7.788985589157485,4.610515672583874,6.086166079047308,7.494534470223738
1550,3.0598751216752595,3.3799267344915345,4.194401498350032,2.677105614153767,1.7969679826710099,4.213966985439276,4.306076889420449,2.6890011528292406,2.557620718314823,4.087602049128208
2050,1.9752451499515173,1.9340764979082252,1.230497620254085,0.9293883920527192,2.260390653100168,1.1536962269677091,2.3462368298474066,2.281163844501384,0.5485041158890435,2.4793133626878134
2550,0.9051218280602382,0.967708716154113,1.3298945638673583,0.9293883920527192,0.7601424944717993,0.5787049960356636,0.9880709466299723,1.6795021031544828,0.7845465732752879,1.1279462274250995
3050,0.9951394565866122,0.7197795976329072,0.6351554449289748,0.6172897347306049,0.47193732938850363,0.6633015759601434,0.4982393303010102,0.6328707933328224,0.5766591106262764,0.637578830995145
3550,0.5687927407901947,0.47658788680170605,0.38218540665804623,0.3358609910735445,0.3520830491781741,0.3834092992654585,0.41796883358731063,0.29212321349523174,0.3256890620177374,0.27997089474092796
4050,0.26544342504971896,0.3455272090516277,0.2930514846592167,0.16870113607214848,0.26412305519334733,0.2754988790657934,0.2692930269330437,0.29212321349523174,0.19668239531333112,0.29913772633053987
4550,0.2267550679866917,0.1815969514505163,0.2189807739106752,0.16569773023986586,0.17639205645875203,0.1968176742346273,0.1893249755381365,0.2366571025864444,0.17888113749885734,0.17376407833082985
5050,0.12827179433242553,0.12742521129568393,0.14546611076025623,0.1302455437382664,0.1541524020281471,0.14965403947875686,0.1434751028795908,0.20430078784640043,0.11152624227803173,0.13507361999183257
5550,0.12827179433242553,0.11642528271775654,0.15937928359983417,0.11601541052948244,0.12408268373990612,0.1219291656970092,0.12396079927601039,0.1340666231644836,0.1141840584238934,0.13507361999183257
6050,0.11386546424973747,0.10712193960710556,0.11310127998376653,0.1155535016308376,0.12408268373990612,0.11387246706894875,0.11721696803091707,0.12127306335544846,0.11338798458611915,0.1100056028635433
6550,0.10745726996397859,0.1074023953793485,0.1104180378363,0.10430785281812646,0.10528584869272009,0.11091005745073468,0.10601997816587554,0.10735190630228408,0.10475316984663824,0.1100056028635433
7050,0.1064115190304176,0.10678700941364433,0.10563587957456365,0.10310661683585648,0.10528584869272009,0.10653921147102069,0.10753537889150681,0.10767033117081048,0.10442987394882655,0.10427312514902767
7550,0.10175346186119415,0.1019994999845993,0.10529910434013777,0.10310661683585648,0.10319957249344544,0.10205206000972429,0.10249248800883992,0.10314501092009942,0.10148668894266,0.10184458126715921
8050,0.10165379208983713,0.10129185517811429,0.10137224538211366,0.10218079109136698,0.10272293827312244,0.10071982750045212,0.1009410367828546,0.10231802306289872,0.10179899483295185,0.1017151549780074
8550,0.10090209797748542,0.1004592903131895,0.10103449562094881,0.10081272750844635,0.10096168945511941,0.1013515312243164,0.10070624331096989,0.1009581897096245,0.10072245325423436,0.10084965016006646
9050,0.10052975416401096,0.10058085630987633,0.10060850280640218,0.10046124673655017,0.10039391830266463,0.10024990819667288,0.10045614778960685,0.10034522516365141,0.10028562725726453,0.10025645990428245
9550,0.10021094796624126,0.10035479946315845,0.10036109017356187,0.10023387425486001,0.1002273005268173,0.10020831889754508,0.10010886078682267,0.10034522516365141,0.10017398100501618,0.10025645990428245
10050,0.10014277104825867,0.10012677433833495,0.1001630496810811,0.10019043378106438,0.10023559153173399,0.10012192725812245,0.10010886078682267,0.10022649066545862,0.10016008637678649,0.10021278468020048
10550,0.1001223572873111,0.10011759372921979,0.10007066604690891,0.10010964375455257,0.10013274832545428,0.10007271215278524,0.10004581901128506,0.10007015171492571,0.10003211526513664,0.10007916463046927
11050,0.10007281541433523,0.1000500766842833,0.10005650515476006,0.10002939090610254,0.10008338590441128,0.10004271509425106,0.10004581901128506,0.10004061462628054,0.10003021282817984,0.10005202729640371
11550,0.10004330640456124,0.10002567179069487,0.10003005676089229,0.10001792820539282,0.1000111805590077,0.1000189222448524,0.10002372695485913,0.1000206280024542,0.10001457816382092,0.10003267780024667
12050,0.10002183552865375,0.10001878473916909,0.10001598158941019,0.10001792820539282,0.1000194006816597,0.10000986868924676,0.10002647534447012,0.1000177650421363,0.1000064980421022,0.10002426463476119
12550,0.10000848619986927,0.10000518786257745,0.10000750359527949,0.10000834589457558,0.10000815386529585,0.10000749065580357,0.10002217559579192,0.10000678459224746,0.10000519267223702,0.10001028176222643
13050,0.1000070869412567,0.10000380682735957,0.10000750359527949,0.1000054726271623,0.10000660177938432,0.10000620985280471,0.10000794952893455,0.10000626112609899,0.10000519267223702,0.10000176607645352
13550,0.10000197924233123,0.10000253541009207,0.10000411714130221,0.10000306656652998,0.1000034199193247,0.10000282083567982,0.10000432323045831,0.10000415481532725,0.10000284245313179,0.1000026847409144
14050,0.1000011939685941,0.10000080740485588,0.1000023203033082,0.10000208277979136,0.10000169859876944,0.10000119136308669,0.10000253535113546,0.10000195340814799,0.1000012648220212,0.10000354562226357
14550,0.10000130319143488,0.10000019657522959,0.10000071339062888,0.10000076302350751,0.10000089490982432,0.10000093200337097,0.10000105901228937,0.100000479500845,0.10000070908010042,0.10000103630091177
15050,0.10000057675679337,0.10000019657522959,0.10000046507168879,0.10000047486118446,0.10000046095119296,0.10000055469258907,0.1000004528755151,0.10000061187306652,0.10000024776937837,0.1000003875676075
15550,0.10000045518577122,0.10000019657522959,0.10000051232604787,0.10000024875037612,0.10000046095119296,0.10000033465151459,0.10000030514415012,0.10000039143691102,0.1000002074329419,0.10000038553417027
16050,0.10000021123392888,0.10000013855306208,0.10000016526414195,0.10000020241986819,0.10000029839681361,0.10000021643437411,0.10000009645405898,0.10000013363824298,0.10000009247100712,0.10000017497399576
16550,0.10000013756766363,0.10000008451150377,0.10000016726526313,0.10000004156922562,0.10000010737965975,0.10000004611991306,0.1000000591922267,0.10000009138585068,0.10000002805353052,0.10000005914657761
17050,0.1000000764288758,0.10000004646839938,0.10000007184158297,0.10000005198988429,0.1000000823003216,0.10000003694661254,0.10000002292893316,0.10000004661503957,0.10000002805353052,0.10000008179907464
17550,0.10000004452494969,0.10000001708435577,0.10000002520795959,0.10000001489459315,0.10000003927171414,0.10000001288098055,0.10000002651667098,0.10000002995304774,0.10000003199877022,0.10000004011404258
18050,0.10000002416161331,0.10000001563473539,0.100000022099747,0.10000001197019305,0.10000000960272751,0.10000001211034032,0.100000012250819,0.10000001787005838,0.10000000746412765,0.10000002204972304
18550,0.1000000061954776,0.10000000528853975,0.10000001935400779,0.10000001002691135,0.10000000423329158,0.10000001126864198,0.10000000456651564,0.10000000937564169,0.10000000746412765,0.10000000988041866
19050,0.10000000482648243,0.10000000413928126,0.10000000587206047,0.10000000206923135,0.10000000423329158,0.10000000564104536,0.10000000380481221,0.10000000418477173,0.10000000366729161,0.1000000057475726
19550,0.10000000311764451,0.10000000218144899,0.10000000406668233,0.10000000202722956,0.10000000397544877,0.10000000214046113,0.10000000117204234,0.10000000162526605,0.10000000153087993,0.10000000321297661
20050,0.10000000236552314,0.10000000110371468,0.1000000032046349,0.10000000191122001,0.10000000179870679,0.10000000144242352,0.10000000117204234,0.10000000177958161,0.10000000055500333,0.10000000226346976
20550,0.10000000078326741,0.10000000097073683,0.10000000166552353,0.10000000060193905,0.10000000170546826,0.10000000098699742,0.10000000120837156,0.10000000108675831,0.10000000055500333,0.10000000174177559
21050,0.10000000092807204,0.10000000055058125,0.10000000059108557,0.10000000060193905,0.10000000033065594,0.10000000051528042,0.1000000006209959,0.10000000056337059,0.10000000030670222,0.10000000088141288
